k,n,id,orders,generator,P,P_coe,E,E_coe,H,H_coe,Element,gen_coe,hyouji,orders2
25,6,3,8,E \phi'',,,E (E \phi'')=E^2\phi'',0 1 0 0 0 0 0 0 0 0 0 0,E (\phi'')=E \phi'',0 0 0 0 0 0 0 0 0 0 0 0,104,0 0 0 1 0 0 0 0 0 0 0 0,E \phi'',8
25,6,4,2,ν6^2\bar{\sigma}12,,,"[O1] p70, \ 2{\phi'''}\equiv{\nu_{7}^{2}}{\bar{\sigma}_{13}}\mod2E^2\phi''",2 0 0 0 0 0 0 0 0 0 0 0,E (ν_{5}^2\bar{\sigma}_{11})=ν_{6}^2\bar{\sigma}_{12},0 0 0 0 0 0 0 0 0 0 0 0,4 4 51,0 0 0 0 1 0 0 0 0 0 0 0,ν6^2\bar{\sigma}12,2
25,6,5,2,"μ3,6",,,"E (μ_{3,6})=μ_{3,7}",0 0 0 1 0 0 0 0 0 0 0 0,"E (μ_{3,5})=μ_{3,6}",0 0 0 0 0 0 0 0 0 0 0 0,103,0 0 0 0 0 1 0 0 0 0 0 0,"μ3,6",2
25,6,6,2,η6\bar{\mu}7σ24,,,E (η_6\bar{\mu}_7σ_{24})=η_7\bar{\mu}_8σ_{25},0 0 0 0 1 0 0 0 0 0 0 0,E (η_{5}\bar{\mu}_{6}σ_{23})=η_{6}\bar{\mu}_{7}σ_{24},0 0 0 0 0 0 0 0 0 0 0 0,2 38 9,0 0 0 0 0 0 1 0 0 0 0 0,η6\bar{\mu}7σ24,2
25,7,0,4,\phi''',,0 0 0 0 0 0 0 0 0 0 0 0,,0 0 0 1 0 0 0 0 0 0 0 0,H(\phi''')=\bar{\sigma}_{13},0 0 0 1 0 0 0 0 0 0 0 0,110,1 0 0 0 0 0 0 0 0 0 0 0,\phi''',4
25,7,1,8,E ^2\phi'',,0 0 0 0 0 0 0 0 0 0 0 0,,0 0 0 0 1 0 0 0 0 0 0 0,E (E \phi'')=E ^2\phi'',0 0 0 0 0 0 0 0 0 0 0 0,104,0 1 0 0 0 0 0 0 0 0 0 0,E ^2\phi'',8
25,7,2,2,σ'η14\bar{\mu}15,,0 0 0 0 0 0 0 0 0 0 0 0,,0 0 0 0 0 1 0 0 0 0 0 0,"[O] Prop6.1(3), \ H({\sigma'}{\eta_{14}}{\bar{\mu}_{15}})=4{\bar{\zeta}_{13}}",0 0 4 0 0 0 0 0 0 0 0 0,8 2 38,0 0 1 0 0 0 0 0 0 0 0 0,σ'η14\bar{\mu}15,2
25,7,3,2,"μ3,7",,0 0 0 0 0 0 0 0 0 0 0 0,,0 0 0 0 0 0 1 0 0 0 0 0,,0 0 0 0 0 0 0 0 0 0 0 0,103,0 0 0 1 0 0 0 0 0 0 0 0,"μ3,7",2
25,7,4,2,η7\bar{\mu}8σ25,,0 0 0 0 0 0 0 0 0 0 0 0,,0 0 0 0 0 0 0 1 0 0 0 0,,0 0 0 0 0 0 0 0 0 0 0 0,2 38 9,0 0 0 0 1 0 0 0 0 0 0 0,η7\bar{\mu}8σ25,2
25,8,0,8,σ8ξ15,,,,1 0 0 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,9 46,1 0 0 0 0 0 0 0 0 0 0 0,σ8ξ15,8
25,8,1,8,σ8E ^2λ,,,"[O1] (7.13), \ \Delta({\nu^{*}_{17}})\equiv {\sigma_{8}}{ E ^{2}\lambda} \mod 4{\sigma_{8}}{\xi_{15}} , 2{\sigma_{8}}{ E ^{2}\lambda} , {\sigma_{8}}{\eta_{15}}{\bar{\mu}_{16}} , E\pi_{32}^7",0 0 0 0 0 0 0 0 0 0 0 0,,0 1 0 0 0 0 0 0 0 0 0 0,9 47,0 1 0 0 0 0 0 0 0 0 0 0,σ8E ^2λ,8
25,8,2,2,σ8η15\bar{\mu}16,,,E({\sigma_{8}}{\eta_{15}}{\bar{\mu}_{16}})={\sigma_{9}}{\eta_{16}}{\bar{\mu}_{17}},0 1 0 0 0 0 0 0 0 0 0 0,,0 0 1 0 0 0 0 0 0 0 0 0,9 2 38,0 0 1 0 0 0 0 0 0 0 0 0,σ8η15\bar{\mu}16,2
25,8,3,4,E \phi''',,,"[O1] Prop5.1(2), \ {\sigma_{9}}{\nu^{*}_{16}}\equiv{E^2\phi'''}\mod\nu_{9}^2\bar{\sigma}_{15}",0 0 1 0 0 0 0 0 0 0 0 0,,0 0 0 0 0 0 0 0 0 0 0 0,110,0 0 0 1 0 0 0 0 0 0 0 0,E \phi''',4
25,8,4,8,E ^3\phi'',,,"[O1] (7.3), \ \Delta({\xi_{17}})\equiv \pm2{\sigma_{8}}{\xi_{15}}+{E ^{3}\phi''} \mod 2{E\phi'''} , 2{E ^{3}\phi''} , {\eta_{8}}{\bar{\mu}_{9}}{\sigma_{26}}",2 0 0 0 0 0 0 0 0 0 0 0,,0 0 0 0 0 0 0 0 0 0 0 0,104,0 0 0 0 1 0 0 0 0 0 0 0,E ^3\phi'',8
25,8,5,2,E σ'η15\bar{\mu}16,,,"[T] Lem5.14, \ {E^2\sigma'}=2\sigma_9",0 0 0 0 0 0 0 0 0 0 0 0,,0 0 0 0 0 0 0 0 0 0 0 0,8 2 38,0 0 0 0 0 1 0 0 0 0 0 0,E σ'η15\bar{\mu}16,2
25,8,6,2,"μ3,8",,,,0 0 0 1 0 0 0 0 0 0 0 0,,0 0 0 0 0 0 0 0 0 0 0 0,103,0 0 0 0 0 0 1 0 0 0 0 0,"μ3,8",2
25,8,7,2,η8\bar{\mu}9σ26,,,,0 0 0 0 1 0 0 0 0 0 0 0,,0 0 0 0 0 0 0 0 0 0 0 0,2 38 9,0 0 0 0 0 0 0 1 0 0 0 0,η8\bar{\mu}9σ26,2
25,9,0,8,σ9ξ16,"[O2] (6.5), \ \Delta({\sigma_{9}}{\xi_{16}})\equiv{\nu_{4}}{E^{2}\phi''}\mod 2({\nu_{4}}{\phi'''}),2({\nu_{4}}{ E ^{2}\phi''}),{\nu_{4}}{\eta_{7}}{\bar{\mu}_{8}}{\sigma_{25}}",0 1 0 0 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,0 0 0 0 0 0 0 0 0 0 0 0,9 46,1 0 0 0 0 0 0 0 0 0 0 0,σ9ξ16,8
25,9,1,2,σ9η16\bar{\mu}17,"[O2] Prop4.5(2), \ \Delta({\sigma_{9}}{\eta_{16}}{\bar{\mu}_{17}})={\nu_{4}}{\sigma'}{\eta_{14}}{\bar{\mu}_{15}} + {E\nu'}{\eta_{7}}{\bar{\mu}_{8}}{\sigma_{25}}",0 0 1 0 0 1 0 0 0 0 0 0,"[O1] Prop6.3(6), \ \Delta({\bar{\mu}_{19}})={\sigma_{9}}{\eta_{16}}{\bar{\mu}_{17}} + {\eta_{9}}{\bar{\mu}_{10}}{\sigma_{27}}",0 0 0 1 0 0 0 0 0 0 0 0,{\sigma_{9}}{\eta_{16}}{\bar{\mu}_{17}}=E({\sigma_{8}}{\eta_{15}}{\bar{\mu}_{16}}),0 0 0 0 0 0 0 0 0 0 0 0,9 2 38,0 1 0 0 0 0 0 0 0 0 0 0,σ9η16\bar{\mu}17,2
25,9,2,4,σ9ν^{*}16,"[O2] (6.5), \ \Delta({\sigma_{9}}{\nu^{*}_{16}})={E\phi'}{\nu_{29}}\pm2({\nu_{4}}{\phi'''})",2 0 0 0 0 0 0 1 0 0 0 0,,0 1 0 0 0 0 0 0 0 0 0 0,"[O1] Prop5.1(2), \ {\sigma_{9}}{\nu^{*}_{16}}\equiv{E^2\phi'''}\mod\nu_{9}^2\bar{\sigma}_{15}",0 0 0 0 0 0 0 0 0 0 0 0,9 48,0 0 1 0 0 0 0 0 0 0 0 0,σ9ν^{*}16,4
25,9,3,2,"μ3,9","[O2] Prop4.5(2), \ \Delta({\mu_{3,9} })={E\nu'}{\mu_{3,7} }",0 0 0 0 0 0 1 0 0 0 0 0,,0 0 1 0 0 0 0 0 0 0 0 0,,0 0 0 0 0 0 0 0 0 0 0 0,103,0 0 0 1 0 0 0 0 0 0 0 0,"μ3,9",2
25,9,4,2,η9\bar{\mu}10σ27,"[O2] Prop4.5(2), \ \Delta({\eta_{9}}{\bar{\mu}_{10}}{\sigma_{27}})={E\nu'}{\eta_{7}}{\bar{\mu}_{8}}{\sigma_{25}}",0 0 0 0 0 1 0 0 0 0 0 0,,0 0 0 1 0 0 0 0 0 0 0 0,,0 0 0 0 0 0 0 0 0 0 0 0,2 38 9,0 0 0 0 1 0 0 0 0 0 0 0,η9\bar{\mu}10σ27,2
25,10,0,4,σ10ξ17,,,,0 1 0 0 0 0 0 0 0 0 0 0,,0 0 0 0 0 0 0 0 0 0 0 0,9 46,1 0 0 0 0 0 0 0 0 0 0 0,σ10ξ17,4
25,10,1,4,σ10ν^{*}17,,,,0 0 1 0 0 0 0 0 0 0 0 0,,0 0 0 0 0 0 0 0 0 0 0 0,9 48,0 1 0 0 0 0 0 0 0 0 0 0,σ10ν^{*}17,4
25,10,2,2,"μ3,10",,,,0 0 0 1 0 0 0 0 0 0 0 0,,0 0 0 0 0 0 0 0 0 0 0 0,103,0 0 1 0 0 0 0 0 0 0 0 0,"μ3,10",2
25,10,3,2,η10\bar{\mu}11σ28,,,,0 0 0 0 1 0 0 0 0 0 0 0,,0 0 0 0 0 0 0 0 0 0 0 0,2 38 9,0 0 0 1 0 0 0 0 0 0 0 0,η10\bar{\mu}11σ28,2
25,11,0,2,K_{1},"[O3] p126, \ \Delta({K_{1}})\equiv{\nu_{5}}{\bar{\kappa}_{8}}{\nu_{28}^{2}} + {\nu_{5}^{3}}{\bar{\kappa}_{14}} \mod {\nu_{5}}{\bar{\sigma}_{8}}{\sigma_{27}},{\nu_{5}}{\eta_{8}}{\mu_{3,9} }",0 1 0 1 0 0 0 0 0 0 0 0,,0 1 0 0 0 0 0 0 0 0 0 0,"[O] Prop4.3(1), \  H(K_{1})=\bar{\varepsilon}_{21}",0 1 0 0 0 0 0 0 0 0 0 0,111,1 0 0 0 0 0 0 0 0 0 0 0,K_{1},2
